name,distance,country,city,street,lat,lon,entidade,GMT,Currency
Pinhal Total,11.634,Portugal,Oleiros,Praça do Municipio,39.91841,-7.9145656,,+00:00,Euro
ACERCA,13.189,Portugal,Oleiros,Rua Central,40.007102700000004,-7.845667864909425,community_centre,+00:00,Euro
Casa de Convívio do Soito,15.129,Portugal,Góis,Travessa das Oliveiras,40.1360156,-7.988215107285347,community_centre,+00:00,Euro
Lagar,18.509,Portugal,Fundão,Rua do Bairro Industrial,40.0676729,-7.8018149,community_centre,+00:00,Euro
Recinto de Festas,18.851,Portugal,Fundão,Rua do Paraíso,40.06717745,-7.796741822397442,community_centre,+00:00,Euro
Recinto da Festa de São Sebastião,19.057,Portugal,Fundão,Rua Doutor José Carvalho,40.07047555,-7.7962264812261415,community_centre,+00:00,Euro
Casa de Convivio,21.684,Portugal,Arganil,Rua da Capela,40.19517435,-8.010216431489678,community_centre,+00:00,Euro
Salão Paroquial Padre Manuel das Neves Contumélias,23.895,Portugal,Arganil,EM 544-1,40.213638599999996,-8.035000090740162,community_centre,+00:00,Euro
Cooperativa Silvo-Agro-Pecuária de Vila Nova do Ceira,23.964,Portugal,Góis,Rua Doutor Francisco Martins Carneiro,40.18164645,-8.152095777800433,community_centre,+00:00,Euro
Rancho Folclórico 'As Flores de Serpins',24.332,Portugal,Lousã,Rua de Nossa Senhora da Graça,40.1587445,-8.197053449760421,community_centre,+00:00,Euro
