name,distance,country,city,street,entity,GMT,Currency,lat,lon
Casa de Convivio,21.684,Portugal,Arganil,Rua da Capela,community_centre,+00:00,Euro,40.19517435,-8.010216431489678
Salão Paroquial Padre Manuel das Neves Contumélias,23.895,Portugal,Arganil,EM 544-1,community_centre,+00:00,Euro,40.213638599999996,-8.035000090740162
Lagar,18.509,Portugal,Fundão,Rua do Bairro Industrial,community_centre,+00:00,Euro,40.0676729,-7.8018149
Recinto de Festas,18.851,Portugal,Fundão,Rua do Paraíso,community_centre,+00:00,Euro,40.06717745,-7.796741822397442
Recinto da Festa de São Sebastião,19.057,Portugal,Fundão,Rua Doutor José Carvalho,community_centre,+00:00,Euro,40.07047555,-7.7962264812261415
Casa de Convívio do Soito,15.129,Portugal,Góis,Travessa das Oliveiras,community_centre,+00:00,Euro,40.1360156,-7.988215107285347
Cooperativa Silvo-Agro-Pecuária de Vila Nova do Ceira,23.964,Portugal,Góis,Rua Doutor Francisco Martins Carneiro,community_centre,+00:00,Euro,40.18164645,-8.152095777800433
Rancho Folclórico 'As Flores de Serpins',24.332,Portugal,Lousã,Rua de Nossa Senhora da Graça,community_centre,+00:00,Euro,40.1587445,-8.197053449760421
Pinhal Total,11.634,Portugal,Oleiros,Praça do Municipio,,+00:00,Euro,39.91841,-7.9145656
ACERCA,13.189,Portugal,Oleiros,Rua Central,community_centre,+00:00,Euro,40.007102700000004,-7.845667864909425
